strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_5_day_low_no_stop,AVT,2022-05-25,41.4575,,,2022-06-09,42.7905,5_day_low,2409,99871.22,3211.19,0.032153,,,,11,93.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:41.4161; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-24 00:00:00; filter_close=40.9738; filter_ma50=38.3106; filter_avg_value_10=33.65; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,SIMO,2022-05-24,81.6648,,,2022-06-13,82.3931,5_day_low,1224,99957.73,891.46,0.008918,,,,14,95.0,entry=rsi2_next_open; setup_rsi2=3.96; raw_entry=open:81.5832; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-23 00:00:00; filter_close=81.9512; filter_ma50=71.7197; filter_avg_value_10=74.11; filter_adr20=4.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,VAL,2022-06-10,55.5855,,,2022-06-13,53.7862,5_day_low,1809,100554.22,-3255.06,-0.032371,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:55.5300; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=56.4100; filter_ma50=55.2612; filter_avg_value_10=72.66; filter_adr20=4.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,PPC,2022-06-10,25.9314,,,2022-06-13,25.2703,5_day_low,3881,100639.93,-2565.89,-0.025496,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=3.99; raw_entry=open:25.9055; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=26.2783; filter_ma50=24.5101; filter_avg_value_10=30.43; filter_adr20=3.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,FRO,2022-06-10,6.4686,,,2022-06-13,6.4557,5_day_low,15550,100587.47,-200.97,-0.001998,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=3.25; raw_entry=open:6.4622; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=6.6853; filter_ma50=6.5344; filter_avg_value_10=25.99; filter_adr20=4.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,VAL,2022-06-13,53.8938,,,2022-06-14,51.4785,5_day_low,1847,99541.92,-4461.19,-0.044817,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:53.8400; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=56.0400; filter_ma50=55.3472; filter_avg_value_10=74.92; filter_adr20=5.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,CC,2022-06-13,34.2727,,,2022-06-14,32.7863,5_day_low,2892,99116.67,-4298.7,-0.04337,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=4.57; raw_entry=open:34.2385; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=35.4488; filter_ma50=32.7609; filter_avg_value_10=44.63; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,UNM,2022-06-13,30.6792,,,2022-06-14,29.7791,5_day_low,3223,98879.1,-2901.17,-0.029341,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.65; raw_entry=open:30.6486; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=31.3989; filter_ma50=30.1431; filter_avg_value_10=62.91; filter_adr20=2.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,BKR,2022-06-13,31.3286,,,2022-06-14,29.9268,5_day_low,3150,98684.97,-4415.62,-0.044745,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=2.51; raw_entry=open:31.2973; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=32.1271; filter_ma50=31.6081; filter_avg_value_10=302.36; filter_adr20=3.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,PPC,2022-06-13,25.3209,,,2022-06-14,24.9656,5_day_low,3886,98396.98,-1380.53,-0.01403,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=2.01; raw_entry=open:25.2956; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=25.7615; filter_ma50=24.6065; filter_avg_value_10=29.12; filter_adr20=3.54; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low_no_stop,OLN,2022-06-13,54.3835,,,2022-06-14,51.1961,5_day_low,1809,98379.78,-5765.95,-0.058609,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=3.73; raw_entry=open:54.3292; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=55.7923; filter_ma50=54.7133; filter_avg_value_10=93.83; filter_adr20=3.29; rs_bucket=rs90_100
