strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ALMU,2026-05-11,28.726,23.98,4.746,2026-05-11,23.98,same_day_stop_loss,348,9996.65,-1651.61,-0.165216,-1.0,-1.101138,0.310578,0,98.0,"buy_stop=pivot_high_1_1:28.7260; entry=max(open,pivot)"
breakout,ASYS,2026-05-11,22.040001,20.610001,1.43,2026-05-11,20.610001,same_day_stop_loss,454,10006.16,-649.22,-0.064882,-1.0,-1.223776,0.636363,0,97.0,"buy_stop=pivot_high_1_1:17.9400; entry=max(open,pivot)"
breakout,CHRN,2026-05-11,16.41,15.09,1.32,2026-05-11,15.09,same_day_stop_loss,609,9993.69,-803.88,-0.080439,-1.0,-1.583334,0.14394,0,97.0,"buy_stop=pivot_high_1_1:16.4100; entry=max(open,pivot)"
breakout,APLD,2026-05-11,44.25,40.27,3.98,2026-05-11,40.27,same_day_stop_loss,225,9956.25,-895.5,-0.089943,-1.0,-1.361809,0.600502,0,96.0,"buy_stop=pivot_high_1_1:44.2500; entry=max(open,pivot)"
breakout,CEVA,2026-05-11,36.02,33.939999,2.080002,2026-05-11,33.939999,same_day_stop_loss,277,9977.54,-576.16,-0.057746,-1.0,-1.451922,0.471153,0,95.0,"buy_stop=pivot_high_1_1:34.8700; entry=max(open,pivot)"
breakout,AGCC,2026-05-11,19.27,18.15,1.120001,2026-05-11,18.15,same_day_stop_loss,518,9981.86,-580.16,-0.058121,-1.0,-1.142857,0.0,0,95.0,"buy_stop=pivot_high_1_1:19.2000; entry=max(open,pivot)"
breakout,AGPU,2026-05-11,6.4,5.55,0.85,2026-05-11,5.55,same_day_stop_loss,1559,9977.6,-1325.15,-0.132812,-1.0,-1.282353,0.435294,0,93.0,"buy_stop=pivot_high_1_1:6.4000; entry=max(open,pivot)"
breakout,BGIN,2026-05-11,4.1,3.83,0.27,2026-05-11,3.83,same_day_stop_loss,2445,10024.5,-660.15,-0.065854,-1.0,-1.962963,0.333334,0,90.0,"buy_stop=pivot_high_1_1:4.1000; entry=max(open,pivot)"
breakout,CGEN,2026-05-11,2.84,2.83,0.01,2026-05-11,2.83,same_day_stop_loss,3530,10025.2,-35.3,-0.003521,-1.0,-5.0,14.000024,0,90.0,"buy_stop=pivot_high_1_1:2.8400; entry=max(open,pivot)"
breakout,AEHR,2026-05-11,99.800003,90.190002,9.610001,2026-05-12,92.874001,ma10_break,100,9980.0,-692.6,-0.069399,-0.720708,-0.89282,0.749219,1,99.0,"buy_stop=pivot_high_1_1:99.4300; entry=max(open,pivot)"
breakout,AP,2026-05-11,12.02,11.48,0.540001,2026-05-12,11.48,stop_loss,832,10000.64,-449.28,-0.044925,-1.0,-4.444438,0.518517,1,98.0,"buy_stop=pivot_high_1_1:11.0000; entry=max(open,pivot)"
breakout,ABSI,2026-05-11,6.235,4.75,1.485,2026-05-12,5.457,ma10_break,1603,9994.71,-1247.13,-0.124779,-0.523906,-0.649158,0.326599,1,97.0,"buy_stop=pivot_high_1_1:6.2350; entry=max(open,pivot)"
breakout,AVNS,2026-05-11,24.780001,24.76,0.02,2026-05-12,24.76,stop_loss,403,9986.34,-8.06,-0.000807,-1.0,-3.999905,6.499809,1,97.0,"buy_stop=pivot_high_1_1:24.7500; entry=max(open,pivot)"
breakout,BRUN,2026-05-11,21.0,17.01,3.99,2026-05-12,17.01,stop_loss,476,9996.0,-1899.24,-0.19,-1.0,-1.152882,0.676692,1,97.0,"buy_stop=pivot_high_1_1:21.0000; entry=max(open,pivot)"
breakout,ATEX,2026-05-11,56.279999,53.330002,2.949997,2026-05-12,53.330002,stop_loss,177,9961.56,-522.15,-0.052416,-1.0,-1.531187,0.074577,1,97.0,"buy_stop=pivot_high_1_1:50.4510; entry=max(open,pivot)"
breakout,ASX,2026-05-11,34.220001,32.799999,1.420002,2026-05-12,33.062,ma10_break,291,9958.02,-336.98,-0.03384,-0.815493,-0.866196,0.774646,1,96.0,"buy_stop=pivot_high_1_1:34.2200; entry=max(open,pivot)"
breakout,BNAI,2026-05-11,25.045,21.610001,3.434999,2026-05-12,24.4095,ma10_break,398,9967.91,-252.93,-0.025374,-0.185007,-0.935954,0.522562,1,96.0,"buy_stop=pivot_high_1_1:25.0450; entry=max(open,pivot)"
breakout,AMSC,2026-05-11,57.18,53.470001,3.709999,2026-05-12,53.470001,stop_loss,174,9949.32,-645.54,-0.064883,-1.0,-1.579515,0.808626,1,95.0,"buy_stop=pivot_high_1_1:57.1800; entry=max(open,pivot)"
breakout,BB,2026-05-11,6.42,6.08,0.34,2026-05-12,6.08,stop_loss,1555,9983.1,-528.7,-0.05296,-1.0,-1.588234,0.294117,1,94.0,"buy_stop=pivot_high_1_1:6.2400; entry=max(open,pivot)"
breakout,BELFB,2026-05-11,307.0,291.320007,15.679993,2026-05-12,291.320007,stop_loss,32,9824.0,-501.76,-0.051075,-1.0,-1.051022,0.080994,1,94.0,"buy_stop=pivot_high_1_1:307.0000; entry=max(open,pivot)"
breakout,CAMT,2026-05-11,206.029999,194.279999,11.75,2026-05-12,194.279999,stop_loss,48,9889.44,-564.0,-0.057031,-1.0,-3.230638,0.84766,1,92.0,"buy_stop=pivot_high_1_1:205.2200; entry=max(open,pivot)"
breakout,AMAT,2026-05-11,439.25,417.899994,21.350006,2026-05-12,417.899994,stop_loss,22,9663.5,-469.7,-0.048606,-1.0,-1.062763,0.430914,1,91.0,"buy_stop=pivot_high_1_1:432.8100; entry=max(open,pivot)"
breakout,ABCL,2026-05-11,5.477,4.88,0.597,2026-05-12,4.88,stop_loss,1831,10028.39,-1093.11,-0.109001,-1.0,-1.720268,0.256281,1,90.0,"buy_stop=pivot_high_1_1:5.1600; entry=max(open,pivot)"
breakout,AEHR,2026-05-12,99.5,94.809998,4.690002,2026-05-12,94.809998,same_day_stop_loss,100,9950.0,-469.0,-0.047136,-1.0,-1.765457,1.06823,0,98.0,"buy_stop=pivot_high_1_1:99.4300; entry=max(open,pivot)"
breakout,ANTX,2026-05-12,4.83,4.46,0.37,2026-05-12,4.46,same_day_stop_loss,2058,9940.14,-761.46,-0.076605,-1.0,-1.64865,0.18919,0,98.0,"buy_stop=pivot_high_1_1:4.8300; entry=max(open,pivot)"
breakout,AVNS,2026-05-12,24.809999,24.780001,0.029999,2026-05-12,24.780001,same_day_stop_loss,402,9973.62,-12.06,-0.001209,-1.0,-3.666773,0.666709,0,97.0,"buy_stop=pivot_high_1_1:24.7500; entry=max(open,pivot)"
breakout,ATEX,2026-05-12,54.919998,54.810001,0.109997,2026-05-12,54.810001,same_day_stop_loss,182,9995.44,-20.02,-0.002003,-1.0,-28.700815,5.272898,0,97.0,"buy_stop=pivot_high_1_1:50.4510; entry=max(open,pivot)"
breakout,ASX,2026-05-12,34.700001,34.060001,0.639999,2026-05-12,34.060001,same_day_stop_loss,287,9958.9,-183.68,-0.018444,-1.0,-2.671876,0.343746,0,96.0,"buy_stop=pivot_high_1_1:34.2200; entry=max(open,pivot)"
breakout,ALM,2026-05-12,21.549999,19.92,1.629999,2026-05-12,19.92,same_day_stop_loss,463,9977.65,-754.69,-0.075638,-1.0,-1.119632,0.383436,0,96.0,"buy_stop=pivot_high_1_1:21.5500; entry=max(open,pivot)"
breakout,BRUN,2026-05-12,21.700001,18.664,3.036001,2026-05-12,18.664,same_day_stop_loss,458,9938.6,-1390.49,-0.139908,-1.0,-1.745718,0.388669,0,94.0,"buy_stop=pivot_high_1_1:21.0000; entry=max(open,pivot)"
breakout,AYA,2026-05-12,19.690001,19.68,0.01,2026-05-12,19.68,same_day_stop_loss,505,9943.45,-5.05,-0.000508,-1.0,-37.999237,163.996185,0,91.0,"buy_stop=pivot_high_1_1:19.4000; entry=max(open,pivot)"
breakout,CDNL,2026-05-11,57.636002,50.205002,7.431,2026-05-13,54.5095,ma10_break,173,9971.03,-540.88,-0.054246,-0.420738,-0.607052,0.746064,2,99.0,"buy_stop=pivot_high_1_1:57.6360; entry=max(open,pivot)"
breakout,AIP,2026-05-11,32.110001,29.290001,2.82,2026-05-13,31.102,ma10_break,312,10018.32,-314.5,-0.031392,-0.357447,-0.585107,1.439716,2,98.0,"buy_stop=pivot_high_1_1:32.1100; entry=max(open,pivot)"
breakout,ANDG,2026-05-11,36.630001,34.830002,1.799999,2026-05-13,34.830002,stop_loss,273,9999.99,-491.4,-0.04914,-1.0,-1.281112,1.616667,2,97.0,"buy_stop=pivot_high_1_1:36.3050; entry=max(open,pivot)"
breakout,BTGO,2026-05-11,12.48,11.04,1.44,2026-05-13,11.634,ma10_break,800,9984.0,-676.8,-0.067788,-0.5875,-0.833333,0.354167,2,97.0,"buy_stop=pivot_high_1_1:12.3900; entry=max(open,pivot)"
breakout,BELFA,2026-05-11,271.279999,259.049988,12.230011,2026-05-13,259.049988,stop_loss,36,9766.08,-440.28,-0.045083,-1.0,-3.040881,0.403106,2,94.0,"buy_stop=pivot_high_1_1:271.2800; entry=max(open,pivot)"
breakout,BDSX,2026-05-11,15.85,14.79,1.06,2026-05-13,14.79,stop_loss,628,9953.8,-665.68,-0.066877,-1.0,-1.254716,0.613207,2,92.0,"buy_stop=pivot_high_1_1:15.8500; entry=max(open,pivot)"
