strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_4_day_low_no_stop,AVT,2022-05-25,41.4203,,,2022-06-09,42.8291,4_day_low,1206,49952.84,1699.05,0.034013,,,,11,93.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:41.4161; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-24 00:00:00; filter_close=40.9738; filter_ma50=38.3106; filter_avg_value_10=33.65; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,SIMO,2022-05-24,81.5914,,,2022-06-13,82.4674,4_day_low,612,49933.92,536.1,0.010736,,,,14,95.0,entry=rsi2_next_open; setup_rsi2=3.96; raw_entry=open:81.5832; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-23 00:00:00; filter_close=81.9512; filter_ma50=71.7197; filter_avg_value_10=74.11; filter_adr20=4.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,VAL,2022-06-10,55.5356,,,2022-06-13,53.8346,4_day_low,903,50148.6,-1535.94,-0.030628,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:55.5300; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=56.4100; filter_ma50=55.2612; filter_avg_value_10=72.66; filter_adr20=4.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,PPC,2022-06-10,25.9081,,,2022-06-13,25.2931,4_day_low,1936,50158.13,-1190.76,-0.02374,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=3.99; raw_entry=open:25.9055; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=26.2783; filter_ma50=24.5101; filter_avg_value_10=30.43; filter_adr20=3.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,FRO,2022-06-10,6.4628,,,2022-06-13,6.4615,4_day_low,7761,50158.03,-10.03,-0.0002,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=3.25; raw_entry=open:6.4622; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=6.6853; filter_ma50=6.5344; filter_avg_value_10=25.99; filter_adr20=4.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,VAL,2022-06-13,53.8454,,,2022-06-14,51.5248,4_day_low,926,49860.83,-2148.82,-0.043096,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:53.8400; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=56.0400; filter_ma50=55.3472; filter_avg_value_10=74.92; filter_adr20=5.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,CC,2022-06-13,34.2419,,,2022-06-14,32.8158,4_day_low,1454,49787.72,-2073.49,-0.041647,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=4.57; raw_entry=open:34.2385; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=35.4488; filter_ma50=32.7609; filter_avg_value_10=44.63; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,UNM,2022-06-13,30.6516,,,2022-06-14,29.8059,4_day_low,1623,49747.58,-1372.63,-0.027592,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.65; raw_entry=open:30.6486; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=31.3989; filter_ma50=30.1431; filter_avg_value_10=62.91; filter_adr20=2.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,BKR,2022-06-13,31.3004,,,2022-06-14,29.9537,4_day_low,1588,49705.03,-2138.49,-0.043024,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=2.51; raw_entry=open:31.2973; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=32.1271; filter_ma50=31.6081; filter_avg_value_10=302.36; filter_adr20=3.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,PPC,2022-06-13,25.2981,,,2022-06-14,24.9881,4_day_low,1962,49634.92,-608.22,-0.012254,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=2.01; raw_entry=open:25.2956; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=25.7615; filter_ma50=24.6065; filter_avg_value_10=29.12; filter_adr20=3.54; rs_bucket=rs90_100
rs90_100_rsi2_next_open_4_day_low_no_stop,OLN,2022-06-13,54.3346,,,2022-06-14,51.2423,4_day_low,913,49607.51,-2823.32,-0.056913,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=3.73; raw_entry=open:54.3292; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=55.7923; filter_ma50=54.7133; filter_avg_value_10=93.83; filter_adr20=3.29; rs_bucket=rs90_100
